chrlbl,citations,definition,first_citation_date,first_citation_text,last_citation_date,last_citation_text,part_of_speech,word,family
1980s+,"[{'@first': 'yes', 'date': '1988', 'tit': 'Viz', 'num': '2', '#text': 'Oct./Nov. Oh, fuck that Tom! It’s piss easy'}, {'date': '2000', 'aut': 'J.J. Connolly', 'tit': 'Layer Cake', 'num': '9', '#text': 'I reckon it [i.e. drug dealing] must look very inviting, like piss-easy money, which it is when all goes well'}, {'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.'}, {'@class': 'new', 'date': '2011', 'aut': 'J.J. Connolly', 'tit': 'Viva La Madness', 'num': '330', '#text': 'Piss-easy, this bodyguarding lark'}]",very easy,1988,"Oct./Nov. Oh, fuck that Tom! It’s piss easy",2011.0,"Piss-easy, this bodyguarding lark",compound,piss-easy,piss
1940s+,"[{'@class': 'new', '@first': 'yes', 'date': '1945', 'aut': 'M. Kantor', 'tit': 'Glory for Me', 'num': '183', '#text': ""I guess I know I'm piss-poor in a job like this""}, {'@class': 'N331', 'date': '1946', 'org': 'OED', '#text': '(reported in oral use by Prof. A. L. Hench) This is a piss-poor outfit'}, {'date': '1947', 'aut': 'D. Davin', 'tit': 'For the Rest of Our Lives', 'num': '370', '#text': 'Frank had asked him how it was: Poor as piss, he answered, poor as piss'}, {'@class': 'N331', 'date': '1948', 'con': '1944', 'aut': 'N. Mailer', 'tit': 'Naked and Dead', 'num': '621', '#text': 'You men are actin’ pretty piss-poor'}, {'date': '1955', 'aut': 'K. Amis', 'src': 'Leader', 'edn': '2000', 'num': '419', '#text': 'letter 23 Jan. in Snap judgment on what I’ve seen (not much): P.P.P. (pretty pisspoor)'}, {'@class': 'N331', 'date': '1957', 'aut': 'Kerouac', 'tit': 'On The Road', 'edn': '1972', 'num': '195', '#text': 'My father and I and a pisspoor bum [...] took a trip to Nebraska'}, {'date': '1961', 'aut': 'H.S. Thompson', 'tit': 'Proud Highway', 'edn': '1997', 'num': '283', '#text': 'letter 20 Aug. in It’s kind of honorable to tilt with the Rotary Club, but piss-poor when they shoot you down'}, {'@class': 'N331', 'date': '1965', 'aut': 'H. Rhodes', 'tit': 'Chosen Few', 'edn': '1966', 'num': '178', '#text': 'It was nice for a change to hear people use slang who knew what they were saying, not making a piss-poor attempt at being hip'}, {'@class': 'N331', 'date': '1971', 'aut': 'T. Thackrey', 'tit': 'Thief', 'num': '297', '#text': 'This is one pisspoor way to pull off a heist'}, {'date': '1972', 'aut': 'J. Wambaugh', 'tit': 'Blue Knight', 'num': '240', '#text': 'My partner, a piss-poor excuse for a cop'}, {'@class': 'N331', 'date': '1980', 'aut': 'Jackson & Christian', 'tit': 'Death Row', 'num': '102', '#text': 'You are the sorriest, piss-poor excuse of a man'}, {'date': '1989', 'aut': 'C. Hiaasen', 'tit': 'Skin Tight', 'num': '22', '#text': 'Weather was piss-poor, that I know'}, {'@class': 'N331', 'date': '1998', 'tit': 'Source', 'num': '144', '#text': 'Nov. The studio’s piss poor speaker system'}, {'date': '1999', 'tit': 'Guardian', 'num': '4', '#text': 'Guide 31 July–6 Aug. The mezzobrow postmodernism and the piss-poor sequels'}, {'@class': 'N331', 'date': '1999', 'tit': 'Guardian', 'num': '12', '#text': 'G2 21 June The view [...] is of a piss-poor, 18-storey concrete housing block'}, {'@class': 'N331', 'date': '2000', 'tit': 'Guardian', 'num': '23', '#text': 'Guide 29 Jan.–4 Feb. Another piss-poor Ibiza-centric crop-top ding dong'}, {'@class': 'N331', 'date': '2000', 'aut': 'S. Maloney', 'tit': 'Big Ask', 'num': '97', '#text': 'Never what you might call foreman material. Piss-poor academic record, no good at sport'}, {'date': '2003', 'aut': 'Wayne', 'tit': 'r1pilot.sportbikeworld.com', '#text': 'Guestbook 8 Mar. at  [Internet] I’d rather have a Honda MELODY instead of that PISS POOR BAG OF SHITE HAYAPUSSY!!!'}, {'@class': 'new', 'date': '2009', 'aut': 'P. Temple', 'tit': 'Truth', 'num': '137', '#text': 'Jerry the tech in headphones, fiddling, tapping, talking to his throat mike. ‘Yeah, piss-poor, yeah, okay, here we go’'}, {'@class': 'new', 'date': '2012', 'aut': 'M. McBride', 'tit': 'Frank Sinatra in a Blender', '#text': '[ebook] They did a piss-poor job of making it look like he’d killed himself'}]","third-rate, incompetent, useless",1945,I guess I know I'm piss-poor in a job like this,2012.0,[ebook] They did a piss-poor job of making it look like he’d killed himself,compound,piss-poor,piss
1960s+,"[{'pre': '1772', 'aut': 'Bridges', 'tit': 'Burlesque Homer', 'edn': '3rd edn', 'num': '234', '#text': 'Don’t stay to pick a single fob; / Tho’ we are poor as we can piss]'}, {'@first': 'yes', 'date': '1962', 'aut': 'H.S. Thompson', 'tit': 'Proud Highway', 'edn': '1997', 'num': '327', '#text': 'letter 13 Mar. in A piss-poor living it is'}, {'@class': 'N331', 'date': '1993–2003', 'aut': 'mullet', 'tit': 'Urban Dict.', 'b': 'piss poor', 'i': 'Im gonna be piss poor this month since I spent all my paycheck on crack', '#text': 'on  [Internet]  1) to be extremely broke (out of money). [...]'}, {'date': '1999', 'aut': 'J. Baker', 'tit': 'Walking With Ghosts', 'edn': '2000', 'num': '116', '#text': 'She’s piss-poor'}, {'@class': 'new', 'date': '2011', 'aut': 'J.J. Connolly', 'tit': 'Viva La Madness', 'num': '289', '#text': 'I knew [...] all his big piss-poor family'}]",totally lacking in finances,1772,Don’t stay to pick a single fob; / Tho’ we are poor as we can piss],2011.0,I knew [...] all his big piss-poor family,compound,piss-poor,piss
1940s+,"[{'@first': 'yes', 'date': '1940', 'aut': 'E. Pound', 'tit': 'Cantos', 'num': '174', '#text': 'lxix Bingham, Carrol of Carrolton Gone piss-rotten for Hamilton Cabot, Fisher Ames [etc.]'}, {'date': '2001–2003', 'tit': 'Ziggy’s Video Realm', 'i': 'Plan Nine From Outer Space', '#text': '[Internet] The movie furnishes some of the most piss rotten production values since Ed Wood graced us with'}]","appalling, unpleasant, distasteful",1940,"lxix Bingham, Carrol of Carrolton Gone piss-rotten for Hamilton Cabot, Fisher Ames [etc.]",2001.0,[Internet] The movie furnishes some of the most piss rotten production values since Ed Wood graced us with,compound,piss-rotten,piss
1980s,"[{'@first': 'yes', 'date': '1968', 'aut': 'P. Terson', 'tit': 'Apprentices', 'edn': '1970', 'num': 'II iii', '#text': 'They’re piss scared I’ll cause trouble'}, {'date': '1985', 'aut': 'B. Simon', 'tit': 'Born in the RSA', 'edn': '1997', 'num': '50', '#text': '‘Outers’ I could have fought Pierre Fourie but he was piss-scared of me'}]",terrified,1968,They’re piss scared I’ll cause trouble,1985.0,‘Outers’ I could have fought Pierre Fourie but he was piss-scared of me,compound,piss-scared,piss
1990s+,"{'@first': 'yes', 'date': '1999', 'tit': 'Observer', 'num': '22', '#text': '3 Oct. She’s sick, sick, just piss-sick, of everything now being all hype and no content'}",utterly contemptuous,1999,"3 Oct. She’s sick, sick, just piss-sick, of everything now being all hype and no content",1999.0,"3 Oct. She’s sick, sick, just piss-sick, of everything now being all hype and no content",compound,piss-sick,piss
1980s+,"{'@first': 'yes', 'date': '1989', 'aut': 'P. Munro', 'tit': 'Sl. U.'}",very ugly,1989,,1989.0,,compound,piss-ugly,piss
None,"[{'@class': 'new', '@first': 'yes', 'date': '1961', 'aut': 'G. Mill', 'tit': 'Nobody Dies But Me', 'edn': '2003', 'num': '70', '#text': '[I]f it is possible to muck it up further The Mucus will, and although he’s only pissweak, in a physical sense, he has a temper like a bloody wild cat'}, {'date': '1974', 'aut': 'D. Ireland', 'tit': 'Burn', 'num': '132', '#text': 'Billy’s walkabout was piss-weak compared to what mine was'}, {'date': '1979', 'aut': 'D. Maitland', 'tit': 'Breaking Out', 'num': '169', '#text': 'You are a bloody lop-eared, snaggle-toothed, drippy faced, feeble-minded, piss-weak, [...] fart-faced flip of a fucking galah!'}, {'date': '1980', 'aut': 'M. Bail', 'tit': 'Homesickness', 'edn': '1999', 'num': '299', '#text': 'They were piss-weak in the war'}, {'@class': 'new', 'date': '1986', 'aut': 'C. Bowles', 'tit': 'G’DAY', 'num': '94', '#text': 'Yer not gunna cop out now. Come on — we’re late [...] (mutters) Piss-weak!'}, {'date': '1988', 'aut': 'McGill', 'tit': 'Dict. of Kiwi Sl.', 'num': '84/2', 'b': 'piss weak', '#text': 'inadequate or mean or cowardly'}, {'date': '2001', 'con': '1945–6', 'aut': 'P. Doyle', 'tit': 'Devil’s Jump', 'edn': '2008', 'num': '58', '#text': 'I’ve heard some piss-weak bullshit in my thirty years in union politics but [...] you really take the cake'}, {'date': '2003', 'tit': 'Bug', '#text': '(Aus.) Aug. [Internet] I sort of expected such a pissweak insult from the repesentative of this gutless mob of Sprungkok black shooters'}, {'@class': 'N331', 'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.', '#text': '[as cit. 1988]'}, {'@class': 'new', 'date': '2009', 'aut': 'P. Temple', 'tit': 'Truth', 'num': '239', '#text': 'That’s the fed approach [...] Any phone, anybody, any time, any reason, no matter how pissweak'}]","weak, cowardly, pathetic (cf. )",1961,"[I]f it is possible to muck it up further The Mucus will, and although he’s only pissweak, in a physical sense, he has a temper like a bloody wild cat",2009.0,"That’s the fed approach [...] Any phone, anybody, any time, any reason, no matter how pissweak",compound,piss-weak,piss
,"{'@class': 'new', '@first': 'yes', 'date': '2009', 'aut': 'T. Black', 'tit': 'Gutted', 'num': '167', '#text': '‘Gimme a pint.’ I pointed to some piss-weak-looking Belgian brand on the pump'}","of alcohol, lacking strength",2009,‘Gimme a pint.’ I pointed to some piss-weak-looking Belgian brand on the pump,2009.0,‘Gimme a pint.’ I pointed to some piss-weak-looking Belgian brand on the pump,compound,piss-weak,piss
1970s+,"[{'@first': 'yes', 'date': '1985', 'con': '1968', 'aut': 'D.A. Dye', 'tit': 'Citadel', 'edn': '1989', 'num': '25', '#text': 'I wisht I could [...] see some of that shit instead of serving buffalo piss to these guys at the club. [Ibid.] 181: You fuckers [...] wouldn’t know fine champagne from water buffalo piss'}, {'date': '2002', 'con': '1973', 'tit': 'Ted’s Trip Through the Ether', '#text': '[Internet] Anyway to come to a conclusion we decided that the Brit Rep did not want his boys ‘drinking our buffalo piss and barking at the moon’'}, {'date': '2002', 'tit': 'Kai’s Komic Kaptions', '#text': '[Internet] Gah! This tastes like buffalo piss! Psst, hey buddy! Would you go get me a REAL drink?'}]",weak beer,1985,I wisht I could [...] see some of that shit instead of serving buffalo piss to these guys at the club. [Ibid.] 181: You fuckers [...] wouldn’t know fine champagne from water buffalo piss,2002.0,"[Internet] Gah! This tastes like buffalo piss! Psst, hey buddy! Would you go get me a REAL drink?",phrase,buffalo piss,piss
1910s+,"[{'@first': 'yes', 'date': '1920', 'con': 'WWI', 'aut': 'Dos Passos', 'tit': 'One Man’s Initiation: 1917', 'edn': '1969', 'num': '11', '#text': 'Everybody is soused on the strong red [i.e. French] army wine — nicknamed Pinard (bull piss)'}, {'date': '1978', 'aut': 'S. King', 'tit': 'Stand', 'edn': '1990', 'num': '824', '#text': 'If it came down to a choice between drinking Za-Rex and bullpiss, I’d have to sit down and think'}]","very low quality, cheap liquor",1920,Everybody is soused on the strong red [i.e. French] army wine — nicknamed Pinard (bull piss),1978.0,"If it came down to a choice between drinking Za-Rex and bullpiss, I’d have to sit down and think",phrase,bull piss,piss
1940s+,"{'@first': 'yes', 'date': '2002', 'tit': 'OxfordStudent.com', '#text': '‘Letter from America’ 31 Oct. at  [Internet] Better than the usual American beer, though, for which I’m told the official term is ‘cat’s piss’'}",any form of weak drink,2002,"‘Letter from America’ 31 Oct. at  [Internet] Better than the usual American beer, though, for which I’m told the official term is ‘cat’s piss’",2002.0,"‘Letter from America’ 31 Oct. at  [Internet] Better than the usual American beer, though, for which I’m told the official term is ‘cat’s piss’",phrase,cat’s piss,piss
1990s+,"{'@first': 'yes', 'date': '1996', 'tit': 'www.lileks.com', '#text': '[Internet] As the watch commander put it, this dogpiss is for pussies!'}",any weak or diluted drink,1996,"[Internet] As the watch commander put it, this dogpiss is for pussies!",1996.0,"[Internet] As the watch commander put it, this dogpiss is for pussies!",phrase,dogpiss,piss
1970s,"[{'@first': 'yes', 'date': '1975', 'aut': 'N. De Mille', 'tit': 'Smack Man', 'edn': '1991', 'num': '97', '#text': 'Bring us three mugs of that monkey piss you call beer'}, {'date': '1997', 'aut': 'J. Birmingham', 'tit': 'Tasmanian Babes Fiasco', 'edn': '1998', 'num': '209', '#text': 'He’s brought [...] two big boxes of wine.’ ‘Monkey piss?’'}]",weak beer or bad wine,1975,Bring us three mugs of that monkey piss you call beer,1997.0,He’s brought [...] two big boxes of wine.’ ‘Monkey piss?’,phrase,monkey piss,piss
1910s+,"[{'@first': 'yes', 'date': '1929', 'con': '1916', 'aut': 'F. Manning', 'tit': 'Her Privates We', 'edn': '1986', 'num': '33', '#text': 'If any of you chaps go on the piss with Bourne, and he offers you a stirrup-cup, you can take it from me he has got you beat'}, {'date': '1945', 'aut': 'P. Larkin', 'src': 'Thwaite', 'tit': 'Sel. Letters', 'edn': '1992', 'num': '110', '#text': 'letter 31 Oct. in Your letter found me last night when I came in off the piss: in point of fact I had spewed out of a train window and farted in the presence of ladies'}, {'date': '1963–74', 'aut': 'B. Humphries', 'tit': ['Barry McKenzie', 'Complete Barry McKenzie'], 'edn': '1988', 'num': '28', '#text': '[comic strip] in Don’t you believe a word of it, Phil — he’s on the piss with his mates!'}, {'date': '1976', 'aut': 'D. Ireland', 'tit': 'Glass Canoe', 'edn': '1982', 'num': '48', '#text': 'That finished Bob. He got on the piss every day'}, {'@class': 'uk', 'date': '1976', 'aut': 'P. Reading', 'tit': 'Prison Cell and Barrel Mystery', 'num': '50', '#text': '‘Duologues’ in See, er bloke (im as ad that motorbike crack comin ome off the piss that time)'}, {'date': '1986', 'aut': 'F. Taylor', 'tit': 'Auf Wiedersehen Pet Two', 'num': '79', '#text': 'He didn’t have to go on the piss all night like the others, did he?'}, {'@class': 'N331', 'date': '1997', 'tit': 'Bug', '#text': '(Aus.) 1 Oct. [Internet] When I was a youngster, I always wanted to get on the piss with Honor Blackman'}, {'date': '1998', 'aut': 'I. Welsh', 'tit': 'Filth', 'num': '171', '#text': 'I scored some good gum-numbing cocaine [...] Then I was back out on the piss'}, {'@class': 'N331', 'date': '1999', 'tit': 'Observer', 'num': '9', '#text': 'Screen 21 Nov. A teenager on the piss'}, {'@class': 'N331', 'date': '2000', 'tit': 'Guardian', 'num': '3', '#text': 'Rev. 31 Mar. If we were on the piss on a Saturday night, maybe'}, {'@class': 'N331', 'date': '2001', 'aut': 'K. Waterhouse', 'tit': 'Soho', 'num': '37', '#text': 'No way did they do anything whatsoever for most of the day except go on the piss'}, {'date': '2003', 'tit': 'Bug', '#text': '(Aus.) Apr. [Internet] He and some other club lackeys then spent the next two minutes saying how much they enjoyed getting on the piss together'}, {'@class': 'new', 'date': '2014', 'aut': 'T. Black', 'tit': 'Artefacts of the Dead', '#text': '[ebook] [Did they] play cards on a Saturday night or go out on the pish?'}]","out drinking, usu. with friends; usu. in phr. /; thus , at the end of a drinking session",1929,"If any of you chaps go on the piss with Bourne, and he offers you a stirrup-cup, you can take it from me he has got you beat",2014.0,[ebook] [Did they] play cards on a Saturday night or go out on the pish?,phrase,on the piss,piss
1900s,"{'@first': 'yes', 'date': '1936', 'con': '1900s', 'aut': 'F. Richards', 'tit': 'Old Soldier Sahib', 'edn': '1965', 'num': '87', '#text': 'Soldiers of the old John Company drank rum and not shark’s p—s'}",weak beer or other alcohol,1936,Soldiers of the old John Company drank rum and not shark’s p—s,1936.0,Soldiers of the old John Company drank rum and not shark’s p—s,phrase,shark’s piss,piss
1960s–70s,"{'@first': 'yes', 'date': '1963–74', 'aut': 'B. Humphries', 'tit': ['Barry McKenzie', 'Complete Barry McKenzie'], 'edn': '1988', 'num': '48', '#text': '[comic strip] in There’s a Hun-type sheilah up here with a dirty great barrel of snakes piss!'}",beer,1963,[comic strip] in There’s a Hun-type sheilah up here with a dirty great barrel of snakes piss!,1963.0,[comic strip] in There’s a Hun-type sheilah up here with a dirty great barrel of snakes piss!,phrase,snake’s piss,piss
20C+,"[{'@class': 'new18A', '@first': 'yes', 'date': '1915', 'tit': 'Sat. Eve. Post', 'num': '6/2', '#text': '187:5 I’m [...] full o’ ginger an’ conceit, like a barber’s cat'}, {'@class': 'new18A', 'date': '1921', 'tit': 'Our Navy', 'num': '25/1', '#text': ""(USN) vol. 15 ‘We're full of wind and pep like a barber's cat’""}, {'date': '1922', 'aut': 'Joyce', 'tit': 'Ulysses', 'num': '314', '#text': 'And he took the last swig out of the pint, Moya. All wind and piss like a tanyard cat'}, {'date': '1947', 'aut': 'J. Maclaren-Ross', 'tit': 'Of Love And Hunger', 'num': '113', '#text': 'Full of piss and wind. Called on us to give three cheers for Major Drummond'}, {'date': '1952', 'con': '1920s', 'aut': '‘Harry Grey’', 'tit': 'Hoods', 'edn': '1953', 'num': '211', '#text': 'You’re – full – of – wind – and – piss – like – a – barber’s – cat'}, {'date': '1957', 'aut': 'G. Kersh', 'tit': 'Fowlers End', 'edn': '2001', 'num': '202', '#text': 'These Mediterranean races are all wind, old thing. Just you call their bluff'}, {'@class': 'N331', 'date': '1959', 'aut': 'D. Niland', 'tit': 'Big Smoke', 'num': '24', '#text': 'Frankie, I’m not all piss and wind like the barber’s cat. I can’t drum it into you enough, boy, just what a great fighter you can be'}, {'date': '1963', 'con': '1944', 'aut': 'L. Glassop', 'tit': 'Rats in New Guinea', 'num': '115', '#text': 'Don’t pay no attention to that mug aleck [...] He’s all — and wind like the barber’s cat. He’s a no-hoper'}, {'@class': 'N331', 'date': '1966', 'aut': 'B. Reckord', 'tit': 'Skyvers', 'num': 'III v', '#text': '’E just spluttered out. All wind and piss like barber’s cat'}, {'date': '1977', 'aut': 'D. Powis', 'tit': 'Signs of Crime', 'num': '207', '#text': 'Wind and piss, all Bragging: ‘He’s all wind and piss’ or, more politely, ‘He’s all wind and water’'}, {'date': '1980', 'aut': 'Barltrop  &  Wolveridge', 'tit': 'Muvver Tongue', 'num': '42', '#text': 'A person who shows off is described as ‘all wind and piss’'}, {'date': '1982', 'aut': 'N. Keesing', 'tit': 'Lily on the Dustbin', 'num': '52', '#text': 'They would explain that ‘he’ was ‘full as a tick (or boot)’ or came home ‘all piddle and wind like the barber’s cat’'}, {'date': '1987', 'con': '1930s', 'aut': 'L. Redmond', 'tit': 'Emerald Square', 'num': '260', '#text': 'I thought Lanagan all piss and wind, like the Barber’s cat, and I was in no way afraid of him'}, {'@class': 'N331', 'date': '1989', 'aut': 'J. Morton', 'tit': 'Lowspeak', 'num': '149', 'i': 'full of shit and sticks', '#text': 'To be full of wind and piss – to be a boaster or bragger [...] Another [phrase] is'}, {'date': '1999', 'aut': 'G. Seal', 'tit': 'Lingo', 'num': '125', 'scaps': 'full of piss and wind', '#text': 'One who is  is indeed void of content'}, {'date': '2006', 'tit': 'Age', '#text': '(Melbourne) 6 Jan. [Internet] Na, don’t you boys go listening to the stock agent too much neither. He’s all piss and wind, that fella'}]","a phr. describing a loudmouth, a braggart, all talk and no action; also euphs",1915,"187:5 I’m [...] full o’ ginger an’ conceit, like a barber’s cat",2006.0,"(Melbourne) 6 Jan. [Internet] Na, don’t you boys go listening to the stock agent too much neither. He’s all piss and wind, that fella",phrase,all piss and wind (like the barber’s cat),piss
1920s+,"{'@first': 'yes', 'date': '1970', 'aut': 'A. Sillitoe', 'tit': 'Start in Life', 'edn': '1979', 'num': '328', '#text': 'All his rhetoric about loyalty and standing by people [...] was nothing more than wind and piss'}",empty talk,1970,All his rhetoric about loyalty and standing by people [...] was nothing more than wind and piss,1970.0,All his rhetoric about loyalty and standing by people [...] was nothing more than wind and piss,phrase,all piss and wind (like the barber’s cat),piss
1990s+,"{'@first': 'yes', 'date': '1997', 'tit': ['Roger’s Profanisaurus', 'Viz'], 'num': 'n.p.', 'i': 'rusty water', '#text': 'in  87 Dec. arse-piss n. Diarrhoea;  (qv); the shits'}",diarrhoea,1997,in  87 Dec. arse-piss n. Diarrhoea;  (qv); the shits,1997.0,in  87 Dec. arse-piss n. Diarrhoea;  (qv); the shits,phrase,arse-piss,piss
2000s,"{'@first': 'yes', 'date': '2001', 'aut': 'G. Coughlan', 'tit': 'Everyday Eng. and Sl.', '#text': '[Internet] Can of piss (n): derogatory term i.e. ‘You’re some can of piss’'}",a term of abuse,2001,[Internet] Can of piss (n): derogatory term i.e. ‘You’re some can of piss’,2001.0,[Internet] Can of piss (n): derogatory term i.e. ‘You’re some can of piss’,phrase,can of piss,piss
1940s,"{'@first': 'yes', 'date': '1948', 'aut': 'N. Mailer', 'tit': 'Naked and Dead', 'num': '94', '#text': 'Ol’ Stanley is really feelin’ his piss now that he’s in for corporal'}",to become infatuated with one’s own importance,1948,Ol’ Stanley is really feelin’ his piss now that he’s in for corporal,1948.0,Ol’ Stanley is really feelin’ his piss now that he’s in for corporal,phrase,feel one’s piss,piss
2000s+,"{'@class': 'new', '@first': 'yes', 'date': '2005', 'aut': 'L. Redhead', 'tit': 'Rubdown', '#text': '[ebook] I hung a quick piss to avoid any future funnel action'}",to urinate,2005,[ebook] I hung a quick piss to avoid any future funnel action,2005.0,[ebook] I hung a quick piss to avoid any future funnel action,phrase,hang a piss,piss
2000s,"{'@first': 'yes', 'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.'}",a phr. used of a dedicated drinker,2003,,2003.0,,phrase,he would drink the piss from a brewer’s horse,piss
1970s,"{'@first': 'yes', 'date': '1974', 'aut': 'D. Ireland', 'tit': 'Burn', 'num': '24', '#text': 'They used to call him Fisho years ago when he hit the piss a lot. Drank like a fish'}",to get drunk,1974,They used to call him Fisho years ago when he hit the piss a lot. Drank like a fish,1974.0,They used to call him Fisho years ago when he hit the piss a lot. Drank like a fish,phrase,hit the piss,piss
early–mid-19C,"{'@first': 'yes', 'date': '1823', 'aut': '‘Jon Bee’', 'tit': 'Dict. of the Turf, the Ring, the Chase, etc.'}",a general phr. of derision or disdain,1823,,1823.0,,phrase,like a snob’s cat – all piss and tantrums,piss
1980s+,"{'@first': 'yes', 'date': '2002', 'aut': '‘Shitter’', 'tit': 'Happydrunk.com', '#text': '‘Drinking Tales’  [Internet] Before making the trek up to the field we decided to make a piss stop in the school. The closest bathroom to the entrance we went in had 2 urinals and 1 toilet'}","to visit the lavatory, esp. to stop drinking in order to do so",2002,‘Drinking Tales’  [Internet] Before making the trek up to the field we decided to make a piss stop in the school. The closest bathroom to the entrance we went in had 2 urinals and 1 toilet,2002.0,‘Drinking Tales’  [Internet] Before making the trek up to the field we decided to make a piss stop in the school. The closest bathroom to the entrance we went in had 2 urinals and 1 toilet,phrase,make a piss stop,piss
20C+,"{'@first': 'yes', 'date': '1977', 'tit': 'Maledicta', 'num': '13', 'i': 'so dumb he couldn’t pour piss out of a boot–with the directions printed on the heel', '#text': '1 (Summer) He is'}",a phr. used of one who is very stupid,1977,1 (Summer) He is,1977.0,1 (Summer) He is,phrase,not enough sense to pour piss out of a boot,piss
1980s+,"[{'@first': 'yes', 'date': '1981', 'con': '1920s', 'aut': 'P. Crosbie', 'tit': 'Your Dinner’s Poured Out!', 'num': '219', '#text': 'He wouldn’t give you the steam off his piss'}, {'date': '1991', 'aut': 'B. Quinn', 'tit': 'Smokey Hollow', 'num': '142', '#text': 'Them nuns are mean rips [...] They wouldn’t give you the steam off their piss'}, {'date': '2000', 'aut': 'J.J. Connolly', 'tit': 'Layer Cake', 'num': '110', '#text': 'Dudes who hate them with a vengeance, cos of envy or fear, who wouldn’t give ’em the steam off their piss'}]",to hold in absolute contempt,1981,He wouldn’t give you the steam off his piss,2000.0,"Dudes who hate them with a vengeance, cos of envy or fear, who wouldn’t give ’em the steam off their piss",phrase,not give someone the steam on one’s piss,piss
1990s+,"[{'@class': 'new18D', '@first': 'yes', 'date': '1993', 'tit': 'Aus. Word Map', '#text': '[Internet] piss funny. To be exceptionally hilarious. Maybe originated from when people laugh so hard they nearly wet themselves'}, {'@class': 'new18D', 'date': '2002', 'tit': 'Tharunka', 'num': '7/1', '#text': '(Kensington, NSW) 1 Oct.  We received more verbal responses to this article than Philthy Ruddock received at the Scientia. The most frequent comment: ‘That was piss-funny’'}]",hilariously funny,1993,[Internet] piss funny. To be exceptionally hilarious. Maybe originated from when people laugh so hard they nearly wet themselves,2002.0,"(Kensington, NSW) 1 Oct.  We received more verbal responses to this article than Philthy Ruddock received at the Scientia. The most frequent comment: ‘That was piss-funny’",phrase,piss-funny,piss
1970s,"{'@first': 'yes', 'date': '1978', 'aut': 'A. Banks', 'tit': 'First-Person America', 'edn': '1980', 'num': '60', '#text': 'in Old piss-in-the-face McCann just didn’t want her back'}",a despicable person,1978,in Old piss-in-the-face McCann just didn’t want her back,1978.0,in Old piss-in-the-face McCann just didn’t want her back,phrase,piss-in-the-face,piss
1970s+,"[{'@first': 'yes', 'date': '1980', 'aut': 'L. Leland', 'tit': 'Kiwi-Yankee Dict.'}, {'date': '1985', 'aut': 'J. Sherwood', 'tit': 'Botanist at Bay', 'num': '37', '#text': 'That padlock is a piss in the hand, princess, when you know how'}, {'@class': 'N331', 'date': '1988', 'aut': 'McGill', 'tit': 'Dict. of Kiwi Sl.'}, {'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.', '#text': '[as cit. 1988]'}]",anything considered very easy,1980,,2003.0,[as cit. 1988],phrase,piss in the hand,piss
1960s+,"{'@first': 'yes', 'date': '1998–2000', 'aut': 'P. Anderson', 'tit': 'Dubya Debates', '#text': '‘A Vote for Nader is a Vote for Bush’ on  [Internet] I would much rather have Nader. I understand that the cards are stacked against him, and that a vote for him is a piss in the wind'}",a waste of time,1998,"‘A Vote for Nader is a Vote for Bush’ on  [Internet] I would much rather have Nader. I understand that the cards are stacked against him, and that a vote for him is a piss in the wind",1998.0,"‘A Vote for Nader is a Vote for Bush’ on  [Internet] I would much rather have Nader. I understand that the cards are stacked against him, and that a vote for him is a piss in the wind",phrase,piss in the wind,piss
1990s+,"{'@first': 'yes', 'date': '1997', 'aut': 'Simon & Burns', 'tit': 'Corner', 'edn': '1998', 'num': '474', '#text': 'The politicians and professionals are still offering up the kind of piss-in-the-wind optimism that compels any rational mind to recall another, comparable disaster'}","pointless, time-wasting",1997,"The politicians and professionals are still offering up the kind of piss-in-the-wind optimism that compels any rational mind to recall another, comparable disaster",1997.0,"The politicians and professionals are still offering up the kind of piss-in-the-wind optimism that compels any rational mind to recall another, comparable disaster",phrase,piss-in-the-wind,piss
1990s+,"{'@first': 'yes', 'date': '1998', 'tit': 'Guardian', 'num': '16', '#text': 'Sport 2 Oct. A nice sharp right-hander on the chin, sent him piss over teakettles, spark out on the greensward'}",head-over-heels,1998,"Sport 2 Oct. A nice sharp right-hander on the chin, sent him piss over teakettles, spark out on the greensward",1998.0,"Sport 2 Oct. A nice sharp right-hander on the chin, sent him piss over teakettles, spark out on the greensward",phrase,piss over teakettle,piss
1950s,"{'@first': 'yes', 'date': '1952', 'con': '1948', 'aut': 'G. Mandel', 'tit': 'Flee the Angry Strangers', 'num': '145', '#text': 'And I’m a puddle of piss if anyone is going to make things rough for them while I’m still breathing'}","a contemptible person, object or circumstance",1952,And I’m a puddle of piss if anyone is going to make things rough for them while I’m still breathing,1952.0,And I’m a puddle of piss if anyone is going to make things rough for them while I’m still breathing,phrase,puddle of piss,piss
mid-17C–18C,"{'@first': 'yes', 'date': '1890–1904', 'aut': 'Farmer & Henley', 'tit': 'Sl. and Its Analogues'}","of a person, as good as there has ever been",1890,,1890.0,,phrase,good as ever pissed,piss
